Comunidades y Ciudades Autónomas;Nacionalidad;Periodo;Total
10 Comunitat Valenciana;Ambas nacionalidades;2023;6,72
10 Comunitat Valenciana;Ambas nacionalidades;2022;6,9
10 Comunitat Valenciana;Ambas nacionalidades;2021;7,01
10 Comunitat Valenciana;Ambas nacionalidades;2020;7,07
10 Comunitat Valenciana;Ambas nacionalidades;2019;7,44
10 Comunitat Valenciana;Ambas nacionalidades;2018;7,66
10 Comunitat Valenciana;Ambas nacionalidades;2017;8,16
10 Comunitat Valenciana;Ambas nacionalidades;2016;8,51
10 Comunitat Valenciana;Ambas nacionalidades;2015;8,8
10 Comunitat Valenciana;Ambas nacionalidades;2014;8,96
10 Comunitat Valenciana;Ambas nacionalidades;2013;8,89
10 Comunitat Valenciana;Ambas nacionalidades;2012;9,52
10 Comunitat Valenciana;Ambas nacionalidades;2011;9,89
10 Comunitat Valenciana;Ambas nacionalidades;2010;10,36
10 Comunitat Valenciana;Ambas nacionalidades;2009;10,51
10 Comunitat Valenciana;Ambas nacionalidades;2008;11,51
10 Comunitat Valenciana;Ambas nacionalidades;2007;11,19
10 Comunitat Valenciana;Ambas nacionalidades;2006;11,14
10 Comunitat Valenciana;Ambas nacionalidades;2005;10,95
10 Comunitat Valenciana;Ambas nacionalidades;2004;10,89
10 Comunitat Valenciana;Ambas nacionalidades;2003;10,8
10 Comunitat Valenciana;Ambas nacionalidades;2002;10,39
10 Comunitat Valenciana;Española;2024;5,71
10 Comunitat Valenciana;Española;2023;5,83
10 Comunitat Valenciana;Española;2022;6,1
10 Comunitat Valenciana;Española;2021;6,37
10 Comunitat Valenciana;Española;2020;6,27
10 Comunitat Valenciana;Española;2019;6,67
10 Comunitat Valenciana;Española;2018;6,9
10 Comunitat Valenciana;Española;2017;7,47
10 Comunitat Valenciana;Española;2016;7,86
10 Comunitat Valenciana;Española;2015;8,21
10 Comunitat Valenciana;Española;2014;8,39
10 Comunitat Valenciana;Española;2013;8,35
10 Comunitat Valenciana;Española;2012;8,91
10 Comunitat Valenciana;Española;2011;9,2
10 Comunitat Valenciana;Española;2010;9,55
10 Comunitat Valenciana;Española;2009;9,67
10 Comunitat Valenciana;Española;2008;10,46
10 Comunitat Valenciana;Española;2007;10,35
10 Comunitat Valenciana;Española;2006;10,44
10 Comunitat Valenciana;Española;2005;10,31
10 Comunitat Valenciana;Española;2004;10,25
10 Comunitat Valenciana;Española;2003;10,24
10 Comunitat Valenciana;Española;2002;9,9
10 Comunitat Valenciana;Extranjera;2024;10,5
10 Comunitat Valenciana;Extranjera;2023;10,86
10 Comunitat Valenciana;Extranjera;2022;11,02
10 Comunitat Valenciana;Extranjera;2021;10,62
10 Comunitat Valenciana;Extranjera;2020;11,72
10 Comunitat Valenciana;Extranjera;2019;12,17
10 Comunitat Valenciana;Extranjera;2018;12,67
10 Comunitat Valenciana;Extranjera;2017;12,8
10 Comunitat Valenciana;Extranjera;2016;12,89
10 Comunitat Valenciana;Extranjera;2015;12,73
10 Comunitat Valenciana;Extranjera;2014;12,55
10 Comunitat Valenciana;Extranjera;2013;12,18
10 Comunitat Valenciana;Extranjera;2012;13
10 Comunitat Valenciana;Extranjera;2011;13,7
10 Comunitat Valenciana;Extranjera;2010;14,79
10 Comunitat Valenciana;Extranjera;2009;14,89
10 Comunitat Valenciana;Extranjera;2008;17
10 Comunitat Valenciana;Extranjera;2007;15,9
10 Comunitat Valenciana;Extranjera;2006;15,58
10 Comunitat Valenciana;Extranjera;2005;15,53
10 Comunitat Valenciana;Extranjera;2004;16,32
10 Comunitat Valenciana;Extranjera;2003;16,53
10 Comunitat Valenciana;Extranjera;2002;17,02
11 Extremadura;Ambas nacionalidades;2024;6,2
11 Extremadura;Ambas nacionalidades;2023;6,46
11 Extremadura;Ambas nacionalidades;2022;6,46
11 Extremadura;Ambas nacionalidades;2021;6,84
11 Extremadura;Ambas nacionalidades;2020;6,95
11 Extremadura;Ambas nacionalidades;2019;7,18
11 Extremadura;Ambas nacionalidades;2018;7,31
11 Extremadura;Ambas nacionalidades;2017;7,9
11 Extremadura;Ambas nacionalidades;2016;8,11
11 Extremadura;Ambas nacionalidades;2015;8,17
11 Extremadura;Ambas nacionalidades;2014;8,38
11 Extremadura;Ambas nacionalidades;2013;8,08
11 Extremadura;Ambas nacionalidades;2012;8,55
11 Extremadura;Ambas nacionalidades;2011;9,01
11 Extremadura;Ambas nacionalidades;2010;9,2
11 Extremadura;Ambas nacionalidades;2009;9,4
11 Extremadura;Ambas nacionalidades;2008;9,84
11 Extremadura;Ambas nacionalidades;2007;9,19
11 Extremadura;Ambas nacionalidades;2006;9,39
11 Extremadura;Ambas nacionalidades;2005;9,32
11 Extremadura;Ambas nacionalidades;2004;9,28
11 Extremadura;Ambas nacionalidades;2003;9,38
11 Extremadura;Ambas nacionalidades;2002;9,24
11 Extremadura;Española;2024;5,82
11 Extremadura;Española;2023;6,18
11 Extremadura;Española;2022;6,15
11 Extremadura;Española;2021;6,55
11 Extremadura;Española;2020;6,58
11 Extremadura;Española;2019;6,81
11 Extremadura;Española;2018;6,97
11 Extremadura;Española;2017;7,6
11 Extremadura;Española;2016;7,81
11 Extremadura;Española;2015;7,89
11 Extremadura;Española;2014;8,11
11 Extremadura;Española;2013;7,82
11 Extremadura;Española;2012;8,31
11 Extremadura;Española;2011;8,67
11 Extremadura;Española;2010;8,82
11 Extremadura;Española;2009;9,05
11 Extremadura;Española;2008;9,45
11 Extremadura;Española;2007;8,89
11 Extremadura;Española;2006;9,13
11 Extremadura;Española;2005;9,06
11 Extremadura;Española;2004;8,98
11 Extremadura;Española;2003;9,17
11 Extremadura;Española;2002;9,05
11 Extremadura;Extranjera;2024;14,72
11 Extremadura;Extranjera;2023;13,21
11 Extremadura;Extranjera;2022;14,7
11 Extremadura;Extranjera;2021;15,36
11 Extremadura;Extranjera;2020;17,65
11 Extremadura;Extranjera;2019;18,78
11 Extremadura;Extranjera;2018;18,66
11 Extremadura;Extranjera;2017;18,14
11 Extremadura;Extranjera;2016;18,12
11 Extremadura;Extranjera;2015;17,1
11 Extremadura;Extranjera;2014;16,5
11 Extremadura;Extranjera;2013;15,71
11 Extremadura;Extranjera;2012;15,11
11 Extremadura;Extranjera;2011;18,3
11 Extremadura;Extranjera;2010;20
11 Extremadura;Extranjera;2009;19,55
11 Extremadura;Extranjera;2008;21,51
11 Extremadura;Extranjera;2007;19,37
11 Extremadura;Extranjera;2006;19,66
11 Extremadura;Extranjera;2005;20,86
11 Extremadura;Extranjera;2004;25,37
11 Extremadura;Extranjera;2003;22,09
11 Extremadura;Extranjera;2002;23,63
12 Galicia;Ambas nacionalidades;2024;4,93
12 Galicia;Ambas nacionalidades;2023;5,18
12 Galicia;Ambas nacionalidades;2022;5,38
12 Galicia;Ambas nacionalidades;2021;5,49
12 Galicia;Ambas nacionalidades;2020;5,65
12 Galicia;Ambas nacionalidades;2019;5,82
12 Galicia;Ambas nacionalidades;2018;6,14
12 Galicia;Ambas nacionalidades;2017;6,82
12 Galicia;Ambas nacionalidades;2016;7,03
12 Galicia;Ambas nacionalidades;2015;7,13
12 Galicia;Ambas nacionalidades;2014;7,17
12 Galicia;Ambas nacionalidades;2013;7,17
12 Galicia;Ambas nacionalidades;2012;7,63
12 Galicia;Ambas nacionalidades;2011;7,79
12 Galicia;Ambas nacionalidades;2010;7,95
12 Galicia;Ambas nacionalidades;2009;8,14
12 Galicia;Ambas nacionalidades;2008;8,4
12 Galicia;Ambas nacionalidades;2007;7,92
12 Galicia;Ambas nacionalidades;2006;7,83
12 Galicia;Ambas nacionalidades;2005;7,74
12 Galicia;Ambas nacionalidades;2004;7,6
12 Galicia;Ambas nacionalidades;2003;7,54
12 Galicia;Ambas nacionalidades;2002;7,16
12 Galicia;Española;2024;4,43
12 Galicia;Española;2023;4,75
12 Galicia;Española;2022;4,98
12 Galicia;Española;2021;5,13
12 Galicia;Española;2020;5,29
12 Galicia;Española;2019;5,45
12 Galicia;Española;2018;5,81
12 Galicia;Española;2017;6,53
12 Galicia;Española;2016;6,78
12 Galicia;Española;2015;6,91
12 Galicia;Española;2014;6,91
12 Galicia;Española;2013;6,9
12 Galicia;Española;2012;7,33
12 Galicia;Española;2011;7,51
12 Galicia;Española;2010;7,59
12 Galicia;Española;2009;7,77
12 Galicia;Española;2008;8,03
12 Galicia;Española;2007;7,62
12 Galicia;Española;2006;7,58
12 Galicia;Española;2005;7,48
12 Galicia;Española;2004;7,36
12 Galicia;Española;2003;7,32
12 Galicia;Española;2002;6,97
12 Galicia;Extranjera;2024;12,64
12 Galicia;Extranjera;2023;12,74
12 Galicia;Extranjera;2022;13,18
12 Galicia;Extranjera;2021;13,33
12 Galicia;Extranjera;2020;14,04
12 Galicia;Extranjera;2019;15,33
12 Galicia;Extranjera;2018;15,36
12 Galicia;Extranjera;2017;15,63
12 Galicia;Extranjera;2016;14,86
12 Galicia;Extranjera;2015;13,97
12 Galicia;Extranjera;2014;15,04
12 Galicia;Extranjera;2013;14,47
12 Galicia;Extranjera;2012;15,33
12 Galicia;Extranjera;2011;15,08
12 Galicia;Extranjera;2010;17,39
12 Galicia;Extranjera;2009;17,72
12 Galicia;Extranjera;2008;18,43
12 Galicia;Extranjera;2007;17,08
12 Galicia;Extranjera;2006;16,59
12 Galicia;Extranjera;2005;18,1
12 Galicia;Extranjera;2004;18,25
12 Galicia;Extranjera;2003;18,8
12 Galicia;Extranjera;2002;18,54
13 Madrid, Comunidad de;Ambas nacionalidades;2024;7,19
13 Madrid, Comunidad de;Ambas nacionalidades;2023;7,25
13 Madrid, Comunidad de;Ambas nacionalidades;2022;7,49
13 Madrid, Comunidad de;Ambas nacionalidades;2021;7,63
13 Madrid, Comunidad de;Ambas nacionalidades;2020;7,78
13 Madrid, Comunidad de;Ambas nacionalidades;2019;8,37
13 Madrid, Comunidad de;Ambas nacionalidades;2018;8,77
13 Madrid, Comunidad de;Ambas nacionalidades;2017;9,34
13 Madrid, Comunidad de;Ambas nacionalidades;2016;9,81
13 Madrid, Comunidad de;Ambas nacionalidades;2015;10,15
13 Madrid, Comunidad de;Ambas nacionalidades;2014;10,28
13 Madrid, Comunidad de;Ambas nacionalidades;2013;10,23
13 Madrid, Comunidad de;Ambas nacionalidades;2012;10,8
13 Madrid, Comunidad de;Ambas nacionalidades;2011;11,24
13 Madrid, Comunidad de;Ambas nacionalidades;2010;11,57
13 Madrid, Comunidad de;Ambas nacionalidades;2009;11,95
13 Madrid, Comunidad de;Ambas nacionalidades;2008;12,54
13 Madrid, Comunidad de;Ambas nacionalidades;2007;12,16
13 Madrid, Comunidad de;Ambas nacionalidades;2006;11,98
13 Madrid, Comunidad de;Ambas nacionalidades;2005;11,73
13 Madrid, Comunidad de;Ambas nacionalidades;2004;11,88
13 Madrid, Comunidad de;Ambas nacionalidades;2003;11,75
13 Madrid, Comunidad de;Ambas nacionalidades;2002;11,36
13 Madrid, Comunidad de;Española;2024;6,28
13 Madrid, Comunidad de;Española;2023;6,38
13 Madrid, Comunidad de;Española;2022;6,55
13 Madrid, Comunidad de;Española;2021;6,76
13 Madrid, Comunidad de;Española;2020;6,77
13 Madrid, Comunidad de;Española;2019;7,24
13 Madrid, Comunidad de;Española;2018;7,63
13 Madrid, Comunidad de;Española;2017;8,23
13 Madrid, Comunidad de;Española;2016;8,72
13 Madrid, Comunidad de;Española;2015;9,09
13 Madrid, Comunidad de;Española;2014;9,17
13 Madrid, Comunidad de;Española;2013;9,11
13 Madrid, Comunidad de;Española;2012;9,61
13 Madrid, Comunidad de;Española;2011;10,07
13 Madrid, Comunidad de;Española;2010;10,21
13 Madrid, Comunidad de;Española;2009;10,52
13 Madrid, Comunidad de;Española;2008;10,86
13 Madrid, Comunidad de;Española;2007;10,63
13 Madrid, Comunidad de;Española;2006;10,69
13 Madrid, Comunidad de;Española;2005;10,6
13 Madrid, Comunidad de;Española;2004;10,74
13 Madrid, Comunidad de;Española;2003;10,66
13 Madrid, Comunidad de;Española;2002;10,25
13 Madrid, Comunidad de;Extranjera;2024;11,86
13 Madrid, Comunidad de;Extranjera;2023;11,95
13 Madrid, Comunidad de;Extranjera;2022;12,97
13 Madrid, Comunidad de;Extranjera;2021;13,02
13 Madrid, Comunidad de;Extranjera;2020;14,2
13 Madrid, Comunidad de;Extranjera;2019;16,09
13 Madrid, Comunidad de;Extranjera;2018;17,23
13 Madrid, Comunidad de;Extranjera;2017;18,11
13 Madrid, Comunidad de;Extranjera;2016;18,57
13 Madrid, Comunidad de;Extranjera;2015;18,6
13 Madrid, Comunidad de;Extranjera;2014;18,71
13 Madrid, Comunidad de;Extranjera;2013;17,74
13 Madrid, Comunidad de;Extranjera;2012;18,02
13 Madrid, Comunidad de;Extranjera;2011;17,91
13 Madrid, Comunidad de;Extranjera;2010;18,97
13 Madrid, Comunidad de;Extranjera;2009;19,42
13 Madrid, Comunidad de;Extranjera;2008;21,44
13 Madrid, Comunidad de;Extranjera;2007;20,88
13 Madrid, Comunidad de;Extranjera;2006;20,23
13 Madrid, Comunidad de;Extranjera;2005;19,5
13 Madrid, Comunidad de;Extranjera;2004;20,7
13 Madrid, Comunidad de;Extranjera;2003;21,05
13 Madrid, Comunidad de;Extranjera;2002;23,26
14 Murcia, Región de;Ambas nacionalidades;2024;7,93
14 Murcia, Región de;Ambas nacionalidades;2023;8,24
14 Murcia, Región de;Ambas nacionalidades;2022;8,69
14 Murcia, Región de;Ambas nacionalidades;2021;9,07
14 Murcia, Región de;Ambas nacionalidades;2020;9,05
14 Murcia, Región de;Ambas nacionalidades;2019;9,52
14 Murcia, Región de;Ambas nacionalidades;2018;9,9
14 Murcia, Región de;Ambas nacionalidades;2017;10,22
14 Murcia, Región de;Ambas nacionalidades;2016;10,56
14 Murcia, Región de;Ambas nacionalidades;2015;10,9
14 Murcia, Región de;Ambas nacionalidades;2014;11,14
14 Murcia, Región de;Ambas nacionalidades;2013;11,02
14 Murcia, Región de;Ambas nacionalidades;2012;11,42
14 Murcia, Región de;Ambas nacionalidades;2011;11,91
14 Murcia, Región de;Ambas nacionalidades;2010;12,38
14 Murcia, Región de;Ambas nacionalidades;2009;12,82
14 Murcia, Región de;Ambas nacionalidades;2008;13,54
14 Murcia, Región de;Ambas nacionalidades;2007;13,24
14 Murcia, Región de;Ambas nacionalidades;2006;13,23
14 Murcia, Región de;Ambas nacionalidades;2005;12,98
14 Murcia, Región de;Ambas nacionalidades;2004;12,91
14 Murcia, Región de;Ambas nacionalidades;2003;13,04
14 Murcia, Región de;Ambas nacionalidades;2002;12,65
14 Murcia, Región de;Española;2024;6,81
14 Murcia, Región de;Española;2023;7,14
14 Murcia, Región de;Española;2022;7,5
14 Murcia, Región de;Española;2021;7,99
14 Murcia, Región de;Española;2020;7,76
14 Murcia, Región de;Española;2019;8,16
14 Murcia, Región de;Española;2018;8,6
14 Murcia, Región de;Española;2017;9,01
14 Murcia, Región de;Española;2016;9,38
14 Murcia, Región de;Española;2015;9,81
14 Murcia, Región de;Española;2014;10,1
14 Murcia, Región de;Española;2013;10,01
14 Murcia, Región de;Española;2012;10,3
14 Murcia, Región de;Española;2011;10,72
14 Murcia, Región de;Española;2010;11,08
14 Murcia, Región de;Española;2009;11,4
14 Murcia, Región de;Española;2008;11,92
14 Murcia, Región de;Española;2007;11,77
14 Murcia, Región de;Española;2006;12,09
14 Murcia, Región de;Española;2005;11,9
14 Murcia, Región de;Española;2004;11,77
14 Murcia, Región de;Española;2003;11,89
14 Murcia, Región de;Española;2002;11,58
14 Murcia, Región de;Extranjera;2024;13,92
14 Murcia, Región de;Extranjera;2023;14,36
14 Murcia, Región de;Extranjera;2022;15,44
14 Murcia, Región de;Extranjera;2021;15,35
14 Murcia, Región de;Extranjera;2020;16,63
14 Murcia, Región de;Extranjera;2019;17,73
14 Murcia, Región de;Extranjera;2018;18,16
14 Murcia, Región de;Extranjera;2017;17,89
14 Murcia, Región de;Extranjera;2016;17,96
14 Murcia, Región de;Extranjera;2015;17,63
14 Murcia, Región de;Extranjera;2014;17,45
14 Murcia, Región de;Extranjera;2013;16,86
14 Murcia, Región de;Extranjera;2012;17,7
14 Murcia, Región de;Extranjera;2011;18,36
14 Murcia, Región de;Extranjera;2010;19,17
14 Murcia, Región de;Extranjera;2009;20,11
14 Murcia, Región de;Extranjera;2008;22,02
14 Murcia, Región de;Extranjera;2007;21,35
14 Murcia, Región de;Extranjera;2006;20,32
14 Murcia, Región de;Extranjera;2005;20,43
14 Murcia, Región de;Extranjera;2004;22,49
14 Murcia, Región de;Extranjera;2003;24,41
14 Murcia, Región de;Extranjera;2002;26,12
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2024;6,71
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2023;6,66
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2022;7,12
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2021;7,71
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2020;7,62
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2019;8,19
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2018;8,32
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2017;8,93
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2016;9,21
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2015;9,42
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2014;9,71
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2013;9,53
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2012;10,53
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2011;10,57
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2010;10,67
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2009;10,86
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2008;11,3
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2007;10,82
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2006;10,98
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2005;10,46
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2004;10,85
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2003;10,8
15 Navarra, Comunidad Foral de;Ambas nacionalidades;2002;10,31
15 Navarra, Comunidad Foral de;Española;2024;5,5
15 Navarra, Comunidad Foral de;Española;2023;5,48
15 Navarra, Comunidad Foral de;Española;2022;5,87
15 Navarra, Comunidad Foral de;Española;2021;6,52
15 Navarra, Comunidad Foral de;Española;2020;6,27
15 Navarra, Comunidad Foral de;Española;2019;6,79
15 Navarra, Comunidad Foral de;Española;2018;7,09
15 Navarra, Comunidad Foral de;Española;2017;7,71
15 Navarra, Comunidad Foral de;Española;2016;8,24
15 Navarra, Comunidad Foral de;Española;2015;8,4
15 Navarra, Comunidad Foral de;Española;2014;8,85
15 Navarra, Comunidad Foral de;Española;2013;8,64
15 Navarra, Comunidad Foral de;Española;2012;9,39
15 Navarra, Comunidad Foral de;Española;2011;9,52
15 Navarra, Comunidad Foral de;Española;2010;9,36
15 Navarra, Comunidad Foral de;Española;2009;9,64
15 Navarra, Comunidad Foral de;Española;2008;9,99
15 Navarra, Comunidad Foral de;Española;2007;9,63
15 Navarra, Comunidad Foral de;Española;2006;9,82
15 Navarra, Comunidad Foral de;Española;2005;9,59
15 Navarra, Comunidad Foral de;Española;2004;9,94
15 Navarra, Comunidad Foral de;Española;2003;10
15 Navarra, Comunidad Foral de;Española;2002;9,69
15 Navarra, Comunidad Foral de;Extranjera;2024;14,87
15 Navarra, Comunidad Foral de;Extranjera;2023;15
15 Navarra, Comunidad Foral de;Extranjera;2022;16,7
15 Navarra, Comunidad Foral de;Extranjera;2021;17,43
15 Navarra, Comunidad Foral de;Extranjera;2020;18,86
15 Navarra, Comunidad Foral de;Extranjera;2019;20,92
15 Navarra, Comunidad Foral de;Extranjera;2018;20,5
15 Navarra, Comunidad Foral de;Extranjera;2017;22,22
15 Navarra, Comunidad Foral de;Extranjera;2016;20,21
15 Navarra, Comunidad Foral de;Extranjera;2015;20,87
15 Navarra, Comunidad Foral de;Extranjera;2014;19,15
15 Navarra, Comunidad Foral de;Extranjera;2013;18,44
15 Navarra, Comunidad Foral de;Extranjera;2012;20,93
15 Navarra, Comunidad Foral de;Extranjera;2011;19,68
15 Navarra, Comunidad Foral de;Extranjera;2010;21,81
15 Navarra, Comunidad Foral de;Extranjera;2009;21,12
15 Navarra, Comunidad Foral de;Extranjera;2008;22,48
15 Navarra, Comunidad Foral de;Extranjera;2007;21,96
15 Navarra, Comunidad Foral de;Extranjera;2006;23,63
15 Navarra, Comunidad Foral de;Extranjera;2005;20,7
15 Navarra, Comunidad Foral de;Extranjera;2004;22,56
15 Navarra, Comunidad Foral de;Extranjera;2003;22,2
15 Navarra, Comunidad Foral de;Extranjera;2002;21,41
16 País Vasco;Ambas nacionalidades;2024;5,79
16 País Vasco;Ambas nacionalidades;2023;6,06
16 País Vasco;Ambas nacionalidades;2022;6,18
16 País Vasco;Ambas nacionalidades;2021;6,46
16 País Vasco;Ambas nacionalidades;2020;6,66
16 País Vasco;Ambas nacionalidades;2019;7,01
16 País Vasco;Ambas nacionalidades;2018;7,35
16 País Vasco;Ambas nacionalidades;2017;7,83
16 País Vasco;Ambas nacionalidades;2016;8,38
16 País Vasco;Ambas nacionalidades;2015;8,68
16 País Vasco;Ambas nacionalidades;2014;8,92
16 País Vasco;Ambas nacionalidades;2013;8,79
16 País Vasco;Ambas nacionalidades;2012;9,42
16 País Vasco;Ambas nacionalidades;2011;9,69
16 País Vasco;Ambas nacionalidades;2010;9,71
16 País Vasco;Ambas nacionalidades;2009;9,6
16 País Vasco;Ambas nacionalidades;2008;9,83
16 País Vasco;Ambas nacionalidades;2007;9,57
16 País Vasco;Ambas nacionalidades;2006;9,38
16 País Vasco;Ambas nacionalidades;2005;9,29
16 País Vasco;Ambas nacionalidades;2004;9,29
16 País Vasco;Ambas nacionalidades;2003;9,19
16 País Vasco;Ambas nacionalidades;2002;8,69
16 País Vasco;Española;2024;4,72
16 País Vasco;Española;2023;4,99
16 País Vasco;Española;2022;5,2
16 País Vasco;Española;2021;5,53
16 País Vasco;Española;2020;5,63
16 País Vasco;Española;2019;5,94
16 País Vasco;Española;2018;6,31
16 País Vasco;Española;2017;6,88
16 País Vasco;Española;2016;7,38
16 País Vasco;Española;2015;7,72
16 País Vasco;Española;2014;8,04
16 País Vasco;Española;2013;7,94
16 País Vasco;Española;2012;8,57
16 País Vasco;Española;2011;8,88
16 País Vasco;Española;2010;8,92
16 País Vasco;Española;2009;8,71
16 País Vasco;Española;2008;8,98
16 País Vasco;Española;2007;8,96
16 País Vasco;Española;2006;8,94
16 País Vasco;Española;2005;8,92
16 País Vasco;Española;2004;8,96
16 País Vasco;Española;2003;8,9
16 País Vasco;Española;2002;8,45
16 País Vasco;Extranjera;2024;15,53
16 País Vasco;Extranjera;2023;16,4
16 País Vasco;Extranjera;2022;16,52
16 País Vasco;Extranjera;2021;16,93
16 País Vasco;Extranjera;2020;18,46
16 País Vasco;Extranjera;2019;20,66
16 País Vasco;Extranjera;2018;22,14
16 País Vasco;Extranjera;2017;22,72
16 País Vasco;Extranjera;2016;25,07
16 País Vasco;Extranjera;2015;25,18
16 País Vasco;Extranjera;2014;24,1
16 País Vasco;Extranjera;2013;22,4
16 País Vasco;Extranjera;2012;22,13
16 País Vasco;Extranjera;2011;21,23
16 País Vasco;Extranjera;2010;20,83
16 País Vasco;Extranjera;2009;22,41
16 País Vasco;Extranjera;2008;22,92
16 País Vasco;Extranjera;2007;20,26
16 País Vasco;Extranjera;2006;18,76
16 País Vasco;Extranjera;2005;18,42
16 País Vasco;Extranjera;2004;19,2
16 País Vasco;Extranjera;2003;19,99
16 País Vasco;Extranjera;2002;20,62
17 Rioja, La;Ambas nacionalidades;2024;6,3
17 Rioja, La;Ambas nacionalidades;2023;6,18
17 Rioja, La;Ambas nacionalidades;2022;6,83
17 Rioja, La;Ambas nacionalidades;2021;6,86
17 Rioja, La;Ambas nacionalidades;2020;7,26
17 Rioja, La;Ambas nacionalidades;2019;7,6
17 Rioja, La;Ambas nacionalidades;2018;7,4
17 Rioja, La;Ambas nacionalidades;2017;8,17
17 Rioja, La;Ambas nacionalidades;2016;8,48
17 Rioja, La;Ambas nacionalidades;2015;8,7
17 Rioja, La;Ambas nacionalidades;2014;9
17 Rioja, La;Ambas nacionalidades;2013;9,15
17 Rioja, La;Ambas nacionalidades;2012;9,96
17 Rioja, La;Ambas nacionalidades;2011;9,88
17 Rioja, La;Ambas nacionalidades;2010;10,55
17 Rioja, La;Ambas nacionalidades;2009;10,41
17 Rioja, La;Ambas nacionalidades;2008;11,05
17 Rioja, La;Ambas nacionalidades;2007;10,47
17 Rioja, La;Ambas nacionalidades;2006;10,07
17 Rioja, La;Ambas nacionalidades;2005;10,11
17 Rioja, La;Ambas nacionalidades;2004;9,99
17 Rioja, La;Ambas nacionalidades;2003;9,98
17 Rioja, La;Ambas nacionalidades;2002;9,16
17 Rioja, La;Española;2024;5,04
17 Rioja, La;Española;2023;4,98
17 Rioja, La;Española;2022;5,42
17 Rioja, La;Española;2021;5,64
17 Rioja, La;Española;2020;5,9
17 Rioja, La;Española;2019;6,08
17 Rioja, La;Española;2018;6
17 Rioja, La;Española;2017;6,63
17 Rioja, La;Española;2016;6,99
17 Rioja, La;Española;2015;7,35
17 Rioja, La;Española;2014;7,8
17 Rioja, La;Española;2013;7,77
17 Rioja, La;Española;2012;8,45
17 Rioja, La;Española;2011;8,13
17 Rioja, La;Española;2010;8,59
17 Rioja, La;Española;2009;8,79
17 Rioja, La;Española;2008;9,06
17 Rioja, La;Española;2007;8,62
17 Rioja, La;Española;2006;8,54
17 Rioja, La;Española;2005;8,76
17 Rioja, La;Española;2004;8,89
17 Rioja, La;Española;2003;9,02
17 Rioja, La;Española;2002;8,45
17 Rioja, La;Extranjera;2024;13,6
17 Rioja, La;Extranjera;2023;13,53
17 Rioja, La;Extranjera;2022;15,97
17 Rioja, La;Extranjera;2021;15,2
17 Rioja, La;Extranjera;2020;16,79
17 Rioja, La;Extranjera;2019;18,97
17 Rioja, La;Extranjera;2018;18,57
17 Rioja, La;Extranjera;2017;20,87
17 Rioja, La;Extranjera;2016;20,95
17 Rioja, La;Extranjera;2015;19,93
17 Rioja, La;Extranjera;2014;18,6
17 Rioja, La;Extranjera;2013;19,01
17 Rioja, La;Extranjera;2012;19,79
17 Rioja, La;Extranjera;2011;20,78
17 Rioja, La;Extranjera;2010;22,65
17 Rioja, La;Extranjera;2009;20,19
17 Rioja, La;Extranjera;2008;23,03
17 Rioja, La;Extranjera;2007;22,78
17 Rioja, La;Extranjera;2006;21,83
17 Rioja, La;Extranjera;2005;21,39
17 Rioja, La;Extranjera;2004;20,8
17 Rioja, La;Extranjera;2003;21,47
17 Rioja, La;Extranjera;2002;20,02
18 Ceuta;Ambas nacionalidades;2024;8,22
18 Ceuta;Ambas nacionalidades;2023;8,22
18 Ceuta;Ambas nacionalidades;2022;8,77
18 Ceuta;Ambas nacionalidades;2021;8,6
18 Ceuta;Ambas nacionalidades;2020;9,98
18 Ceuta;Ambas nacionalidades;2019;9,92
18 Ceuta;Ambas nacionalidades;2018;11,41
18 Ceuta;Ambas nacionalidades;2017;12,28
18 Ceuta;Ambas nacionalidades;2016;12,52
18 Ceuta;Ambas nacionalidades;2015;12,99
18 Ceuta;Ambas nacionalidades;2014;14,23
18 Ceuta;Ambas nacionalidades;2013;12,86
18 Ceuta;Ambas nacionalidades;2012;13,4
18 Ceuta;Ambas nacionalidades;2011;14,06
18 Ceuta;Ambas nacionalidades;2010;14,79
18 Ceuta;Ambas nacionalidades;2009;14,81
18 Ceuta;Ambas nacionalidades;2008;15,37
